Tageszeit;-17;-16;-15;-14;-13;-12;-11;-10;-9;-8;-7;-6;-5;-4;-3;-2;-1;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
12:30:00;1,0578;1,0579;1,0525;1,0453;1,0362;1,0252;1,0125;0,9980;0,9817;0,9636;0,9364;0,9224;0,8992;0,8743;0,8506;0,8250;0,7974;0,7710;0,7396;0,7063;0,6502;0,5961;0,5426;0,4904;0,4396;0,3900;0,3417;0,2947;0,2489;0,2043;0,1610;0,1198;0,0787;0,0380;0,0046
12:45:00;1,0548;1,0549;1,0495;1,0423;1,0332;1,0223;1,0096;0,9951;0,9789;0,9609;0,9337;0,9197;0,8966;0,8718;0,8482;0,8226;0,7951;0,7688;0,7375;0,7043;0,6484;0,5944;0,5411;0,4890;0,4383;0,3889;0,3407;0,2938;0,2482;0,2037;0,1606;0,1194;0,0784;0,0379;0,0046
13:00:00;1,0540;1,0541;1,0487;1,0415;1,0324;1,0215;1,0088;0,9944;0,9781;0,9601;0,9330;0,9190;0,8959;0,8712;0,8475;0,8220;0,7945;0,7682;0,7369;0,7038;0,6479;0,5939;0,5407;0,4887;0,4380;0,3886;0,3405;0,2936;0,2480;0,2036;0,1605;0,1193;0,0784;0,0378;0,0046
13:15:00;1,0481;1,0482;1,0428;1,0356;1,0266;1,0158;1,0032;0,9888;0,9726;0,9548;0,9277;0,9139;0,8909;0,8663;0,8428;0,8174;0,7901;0,7639;0,7328;0,6998;0,6442;0,5906;0,5376;0,4859;0,4355;0,3864;0,3385;0,2919;0,2466;0,2025;0,1596;0,1187;0,0780;0,0376;0,0046
13:30:00;1,0454;1,0455;1,0401;1,0330;1,0240;1,0132;1,0006;0,9862;0,9701;0,9523;0,9253;0,9115;0,8886;0,8641;0,8406;0,8153;0,7880;0,7620;0,7309;0,6980;0,6426;0,5891;0,5362;0,4847;0,4344;0,3854;0,3377;0,2912;0,2459;0,2019;0,1591;0,1184;0,0777;0,0375;0,0045
13:45:00;1,0436;1,0437;1,0384;1,0312;1,0222;1,0115;0,9989;0,9846;0,9685;0,9507;0,9238;0,9100;0,8871;0,8626;0,8392;0,8139;0,7867;0,7607;0,7297;0,6968;0,6415;0,5881;0,5353;0,4839;0,4337;0,3848;0,3371;0,2907;0,2455;0,2016;0,1589;0,1182;0,0776;0,0375;0,0045
14:00:00;1,0434;1,0434;1,0381;1,0310;1,0220;1,0112;0,9986;0,9843;0,9682;0,9504;0,9235;0,9097;0,8869;0,8624;0,8390;0,8137;0,7865;0,7605;0,7295;0,6966;0,6413;0,5879;0,5352;0,4837;0,4336;0,3847;0,3370;0,2906;0,2455;0,2015;0,1588;0,1181;0,0776;0,0375;0,0045
14:15:00;1,0430;1,0431;1,0378;1,0306;1,0216;1,0108;0,9983;0,9840;0,9679;0,9501;0,9232;0,9094;0,8866;0,8621;0,8387;0,8134;0,7862;0,7602;0,7292;0,6964;0,6411;0,5877;0,5350;0,4836;0,4334;0,3845;0,3369;0,2905;0,2454;0,2015;0,1588;0,1181;0,0776;0,0375;0,0045
14:30:00;1,0399;1,0400;1,0347;1,0275;1,0186;1,0078;0,9953;0,9810;0,9650;0,9473;0,9205;0,9067;0,8839;0,8595;0,8362;0,8110;0,7839;0,7580;0,7271;0,6943;0,6392;0,5860;0,5334;0,4821;0,4321;0,3834;0,3359;0,2897;0,2447;0,2009;0,1583;0,1177;0,0773;0,0373;0,0045
14:45:00;1,0402;1,0403;1,0350;1,0278;1,0189;1,0081;0,9956;0,9813;0,9653;0,9476;0,9208;0,9070;0,8842;0,8598;0,8364;0,8112;0,7841;0,7582;0,7273;0,6945;0,6394;0,5862;0,5336;0,4823;0,4323;0,3835;0,3360;0,2897;0,2447;0,2009;0,1584;0,1178;0,0774;0,0374;0,0045
