Datum,Kapazität in kWh,Restkapazität in kWh,Einspeisung in kWh
2030-10-18 12:15:00,9250000.0,9249372.791372305,-627.2086276948867
2030-10-18 12:30:00,9250000.0,9249465.0784737,-534.9215262994367
2030-10-18 12:45:00,9250000.0,9249454.364691941,-545.6353080580775
2030-10-18 13:00:00,9250000.0,9249527.821160592,-472.1788394071955
2030-10-18 13:15:00,9250000.0,9249540.68099653,-459.31900346988186
2030-10-18 13:30:00,9250000.0,9249308.854612276,-691.1453877235617
2030-10-18 13:45:00,9250000.0,9249275.93870218,-724.0612978212448
2030-10-18 14:00:00,9250000.0,9249124.706175108,-875.2938248920946
2030-10-18 14:15:00,9250000.0,9248815.327626461,-1184.6723735396736
2030-10-18 14:30:00,9250000.0,9248462.573346699,-1537.426653301387
2030-10-18 14:45:00,9250000.0,9248138.813497743,-1861.186502257282
2030-10-18 15:00:00,9250000.0,9247698.069030466,-2301.930969535035
2030-10-18 15:15:00,9250000.0,9247518.776444979,-2481.2235550201003
2030-10-18 15:30:00,9250000.0,9246937.088965194,-3062.911034805991
2030-10-18 15:45:00,9250000.0,9246530.342722513,-3469.657277486378
2030-10-18 16:00:00,9250000.0,9245739.524418809,-4260.47558119231
2030-10-18 16:15:00,9250000.0,9245136.458435396,-4863.541564604991
2030-10-18 16:30:00,9250000.0,9244495.463765247,-5504.536234752441
2030-10-18 16:45:00,9250000.0,9243867.429308034,-6132.570691965595
2030-10-18 17:00:00,9250000.0,9243415.725256281,-6584.274743719503
2030-10-18 17:15:00,9250000.0,9243216.27007665,-6783.729923350289
2030-10-18 17:30:00,9250000.0,9242954.57784274,-7045.422157259865
2030-10-18 17:45:00,9250000.0,9243080.589124417,-6919.410875582427
2030-10-18 18:00:00,9250000.0,9243148.432586053,-6851.567413947183
2030-10-18 18:15:00,9250000.0,9243473.080601173,-6526.919398828082
2030-10-18 18:30:00,9250000.0,9243636.686038822,-6363.313961177695
2030-10-18 18:45:00,9250000.0,9244031.68614104,-5968.313858959349
2030-10-18 19:00:00,9250000.0,9244598.216032336,-5401.783967664138
2030-10-18 19:15:00,9250000.0,9244969.33440666,-5030.665593339614
2030-10-18 19:30:00,9250000.0,9245412.484280447,-4587.515719552619
2030-10-18 19:45:00,9250000.0,9245681.249176634,-4318.750823365845
2030-10-18 20:00:00,9250000.0,9245879.926471073,-4120.073528926616
2030-10-18 20:15:00,9250000.0,9246214.274644788,-3785.725355212009
2030-10-18 20:30:00,9250000.0,9246449.952449618,-3550.0475503812377
2030-10-18 20:45:00,9250000.0,9246879.658860978,-3120.341139022268
2030-10-18 21:00:00,9250000.0,9247160.222643897,-2839.777356102786
2030-10-18 21:15:00,9250000.0,9247522.403340103,-2477.59665989743
2030-10-18 21:30:00,9250000.0,9247940.550705498,-2059.449294501439
2030-10-18 21:45:00,9250000.0,9248457.246478131,-1542.753521869654
2030-10-18 22:00:00,9250000.0,9248365.973998064,-1634.0260019360758
2030-10-18 22:15:00,9250000.0,9248709.899201384,-1290.1007986161785
