Datum,Differenz,Speicher,Netz
2030-05-05 03:00:00,2502.953152755963,2000.0,2502.953152755963
2030-05-05 03:15:00,2419.4000056084915,2000.0,2419.4000056084915
2030-05-05 03:30:00,2307.0543806220285,2000.0,2307.0543806220285
2030-05-05 03:45:00,2163.842794331931,2000.0,2163.842794331931
2030-05-05 04:00:00,2499.1770169458905,2000.0,2499.1770169458905
2030-05-05 04:15:00,2490.525079163179,2000.0,2490.525079163179
2030-05-05 04:30:00,2654.5180851150035,2000.0,2654.5180851150035
2030-05-05 04:45:00,2808.638085298575,2000.0,2808.638085298575
2030-05-05 05:00:00,3411.850655030681,2000.0,3411.850655030681
2030-05-05 05:15:00,3657.064729105681,2000.0,3657.064729105681
2030-05-05 05:30:00,4081.778087103252,2000.0,4081.778087103252
2030-05-05 05:45:00,4736.270713567132,2000.0,4736.270713567132
2030-05-05 06:00:00,5276.251211874154,2000.0,5276.251211874154
2030-05-05 06:15:00,5589.695996128778,2000.0,5589.695996128778
2030-05-05 06:30:00,5878.231757873149,2000.0,5878.231757873149
2030-05-05 06:45:00,5894.627295508606,2000.0,5894.627295508606
2030-05-05 07:00:00,5807.350952857634,2000.0,5807.350952857634
2030-05-05 07:15:00,5524.512863973883,2000.0,5524.512863973883
2030-05-05 07:30:00,5188.0727490112695,2000.0,5188.0727490112695
2030-05-05 07:45:00,4762.937495102136,2000.0,4762.937495102136
2030-05-05 08:00:00,4537.89145725952,2000.0,4537.89145725952
2030-05-05 08:15:00,3990.603585885314,2000.0,3990.603585885314
2030-05-05 08:30:00,3303.385041116384,2000.0,3303.385041116384
2030-05-05 08:45:00,2660.47335590731,2000.0,2660.47335590731
2030-05-05 09:00:00,1892.0098561888335,2000.0,1892.0098561888335
2030-05-05 09:15:00,1173.59645940681,2000.0,1173.59645940681
2030-05-05 09:30:00,208.72495422092834,2000.0,208.72495422092834
2030-05-05 09:45:00,-569.4587285956877,1430.5412714043123,0.0
2030-05-05 10:00:00,-1443.469921138505,0.0,-12.928649734192732
2030-05-05 10:15:00,-2078.7511474172316,0.0,-2078.7511474172316
2030-05-05 10:30:00,-2831.2972938514395,0.0,-2831.2972938514395
2030-05-05 10:45:00,-3641.967917060014,0.0,-3641.967917060014
2030-05-05 11:00:00,-4332.124688369677,0.0,-4332.124688369677
2030-05-05 11:15:00,-4919.210940238474,0.0,-4919.210940238474
2030-05-05 11:30:00,-5123.87193758717,0.0,-5123.87193758717
2030-05-05 11:45:00,-5210.102418206017,0.0,-5210.102418206017
2030-05-05 12:00:00,-5750.4027471259105,0.0,-5750.4027471259105
2030-05-05 12:15:00,-5802.33810588704,0.0,-5802.33810588704
2030-05-05 12:30:00,-5692.57027932263,0.0,-5692.57027932263
2030-05-05 12:45:00,-5609.930198482158,0.0,-5609.930198482158
2030-05-05 13:00:00,-5441.268972878923,0.0,-5441.268972878923
2030-05-05 13:15:00,-4930.752553532046,0.0,-4930.752553532046
2030-05-05 13:30:00,-4585.150539130642,0.0,-4585.150539130642
2030-05-05 13:45:00,-4502.093683412004,0.0,-4502.093683412004
2030-05-05 14:00:00,-4209.704795298254,0.0,-4209.704795298254
2030-05-05 14:15:00,-3001.6747279039955,0.0,-3001.6747279039955
2030-05-05 14:30:00,-2056.56366831806,0.0,-2056.56366831806
2030-05-05 14:45:00,-1650.7155714488217,0.0,-1650.7155714488217
2030-05-05 15:00:00,-501.57924726841156,0.0,-501.57924726841156
2030-05-05 15:15:00,142.50818933994742,142.50818933994742,0.0
2030-05-05 15:30:00,696.7746917555378,839.2828810954852,0.0
2030-05-05 15:45:00,1296.2541375685541,2000.0,135.53701866403935
2030-05-05 16:00:00,1673.937656931077,2000.0,1673.937656931077
2030-05-05 16:15:00,2130.8168990726517,2000.0,2130.8168990726517
2030-05-05 16:30:00,2904.9467210505572,2000.0,2904.9467210505572
2030-05-05 16:45:00,3654.6958707154336,2000.0,3654.6958707154336
2030-05-05 17:00:00,4586.221883287159,2000.0,4586.221883287159
2030-05-05 17:15:00,5146.22819405345,2000.0,5146.22819405345
2030-05-05 17:30:00,5967.676708923416,2000.0,5967.676708923416
2030-05-05 17:45:00,6330.845129948229,2000.0,6330.845129948229
2030-05-05 18:00:00,6660.514471450415,2000.0,6660.514471450415
2030-05-05 18:15:00,7296.111345656307,2000.0,7296.111345656307
2030-05-05 18:30:00,7938.146075784845,2000.0,7938.146075784845
2030-05-05 18:45:00,8475.04950813723,2000.0,8475.04950813723
2030-05-05 19:00:00,9175.259946640093,2000.0,9175.259946640093
2030-05-05 19:15:00,9309.487863188673,2000.0,9309.487863188673
2030-05-05 19:30:00,9514.09214335034,2000.0,9514.09214335034
2030-05-05 19:45:00,9548.195218378469,2000.0,9548.195218378469
2030-05-05 20:00:00,9465.608472710459,2000.0,9465.608472710459
2030-05-05 20:15:00,9260.266675673762,2000.0,9260.266675673762
2030-05-05 20:30:00,9350.020842314312,2000.0,9350.020842314312
2030-05-05 20:45:00,9424.36987588302,2000.0,9424.36987588302
2030-05-05 21:00:00,9358.567309189266,2000.0,9358.567309189266
2030-05-05 21:15:00,9213.783631855275,2000.0,9213.783631855275
2030-05-05 21:30:00,8951.112357695953,2000.0,8951.112357695953
2030-05-05 21:45:00,8646.732671045664,2000.0,8646.732671045664
2030-05-05 22:00:00,8407.242313626857,2000.0,8407.242313626857
