Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
2030-06-25 06:30:00,2633.8233471276963,0.0,-5963.9834916939235,8597.80683882162
2030-06-25 06:45:00,2634.6712882646743,0.0,-6000.385239476579,8635.056527741253
2030-06-25 07:00:00,2561.7772135352416,0.0,-6299.528245043971,8861.305458579212
2030-06-25 07:15:00,2429.584717436962,0.0,-6615.970617544569,9045.55533498153
2030-06-25 07:30:00,2373.6606642834486,0.0,-6925.894054229593,9299.554718513042
2030-06-25 07:45:00,2384.974760474125,0.0,-7105.079606226226,9490.054366700351
2030-06-25 08:00:00,2423.03305401511,0.0,-7219.02069131427,9642.05374532938
2030-06-25 08:15:00,2424.4759537025056,0.0,-7475.07674443287,9899.552698135376
2030-06-25 08:30:00,2419.836918487391,0.0,-7668.465269923964,10088.302188411355
2030-06-25 08:45:00,2385.9199575831462,0.0,-7761.1311293492745,10147.05108693242
2030-06-25 09:00:00,2382.125582025964,0.0,-7976.674039679002,10358.799621704966
2030-06-25 09:15:00,2369.7464317590084,0.0,-8112.801780892155,10482.548212651163
2030-06-25 09:30:00,2378.1843572698563,0.0,-8233.113082472977,10611.297439742833
2030-06-25 09:45:00,2404.0926445321766,0.0,-8205.953478011337,10610.046122543514
2030-06-25 10:00:00,2456.294517217919,0.0,-8317.74989851679,10774.044415734708
2030-06-25 10:15:00,2475.606223375057,0.0,-8417.437583975043,10893.043807350099
2030-06-25 10:30:00,2496.7092344748744,0.0,-8524.334834122383,11021.044068597257
2030-06-25 10:45:00,2535.3382997226404,0.0,-8575.95526028681,11111.29356000945
2030-06-25 11:00:00,2600.9704544028255,0.0,-8637.072321757118,11238.042776159942
2030-06-25 11:15:00,2647.15727651251,0.0,-8643.135306390548,11290.292582903057
2030-06-25 11:30:00,2704.949040365038,0.0,-8651.593221172127,11356.542261537164
2030-06-25 11:45:00,2685.78491663767,0.0,-8662.00710191371,11347.79201855138
2030-06-25 12:00:00,2688.35776162979,0.0,-8669.434010270119,11357.791771899909
2030-06-25 12:15:00,2684.384377845589,0.0,-8624.906855671641,11309.29123351723
2030-06-25 12:30:00,2774.4641085800354,0.0,-8425.326565983461,11199.790674563497
2030-06-25 12:45:00,2863.4927998483818,0.0,-8263.297564715083,11126.790364563465
2030-06-25 13:00:00,2957.2567861067005,0.0,-8099.033125092661,11056.289911199361
2030-06-25 13:15:00,3045.90511911456,0.0,-7981.884697291064,11027.789816405624
2030-06-25 13:30:00,3163.8899378630585,0.0,-7762.399409517341,10926.2893473804
2030-06-25 13:45:00,3399.385948380488,0.0,-7370.903668882293,10770.28961726278
2030-06-25 14:00:00,3577.765656198072,0.0,-7161.023618066055,10738.789274264127
2030-06-25 14:15:00,3742.758878357388,0.0,-6979.029920861445,10721.788799218833
2030-06-25 14:30:00,3901.5398245011165,0.0,-6725.7486329409585,10627.288457442075
2030-06-25 14:45:00,4078.0029835587957,0.0,-6462.035953406372,10540.038936965168
2030-06-25 15:00:00,4202.015659855479,0.0,-6418.273500507898,10620.289160363376
2030-06-25 15:15:00,4227.087708656136,0.0,-6219.4520617607795,10446.539770416915
2030-06-25 15:30:00,4378.185261864308,0.0,-6026.105109956023,10404.29037182033
2030-06-25 15:45:00,4615.902230945341,0.0,-5756.138438115902,10372.040669061244
2030-06-25 16:00:00,4704.28031078087,0.0,-5663.010758179111,10367.291068959981
