Datum,Gesamterzeugung_EE,Speicher Ladeleistung,Speicher Entladeleistung,Speicher + Erneuerbare in MWh
2030-01-03 03:00:00,18262.338958883673,0.0,0.0,18262.338958883673
2030-01-03 03:15:00,18160.48067911315,0.0,0.0,18160.48067911315
2030-01-03 03:30:00,18109.00407485175,0.0,0.0,18109.00407485175
2030-01-03 03:45:00,18017.34964145635,0.0,0.0,18017.34964145635
2030-01-03 04:00:00,17795.80858331246,0.0,0.0,17795.80858331246
2030-01-03 04:15:00,17577.928482956566,0.0,0.0,17577.928482956566
2030-01-03 04:30:00,17395.465187437123,0.0,0.0,17395.465187437123
2030-01-03 04:45:00,17271.037245953332,0.0,0.0,17271.037245953332
2030-01-03 05:00:00,17084.06375761283,0.0,0.0,17084.06375761283
2030-01-03 05:15:00,17053.519229078873,0.0,0.0,17053.519229078873
2030-01-03 05:30:00,16998.542063399003,0.0,0.0,16998.542063399003
2030-01-03 05:45:00,16896.714387042844,0.0,0.0,16896.714387042844
2030-01-03 06:00:00,16874.306320779993,0.0,111.659943939816,16985.96626471981
2030-01-03 06:15:00,16789.569130889304,0.0,250.0,17039.569130889304
2030-01-03 06:30:00,16723.83153300362,0.0,38.340056060184,16762.171589063804
2030-01-03 06:45:00,16660.443505120915,0.0,0.0,16660.443505120915
2030-01-03 07:00:00,16648.366854817563,0.0,0.0,16648.366854817563
2030-01-03 07:15:00,16565.014414740574,0.0,0.0,16565.014414740574
2030-01-03 07:30:00,16548.177366428074,0.0,0.0,16548.177366428074
2030-01-03 07:45:00,16459.95171236041,0.0,0.0,16459.95171236041
2030-01-03 08:00:00,16321.428942962895,0.0,0.0,16321.428942962895
2030-01-03 08:15:00,16207.908945421934,0.0,0.0,16207.908945421934
2030-01-03 08:30:00,16056.361162763844,0.0,0.0,16056.361162763844
2030-01-03 08:45:00,16032.974181919768,0.0,0.0,16032.974181919768
2030-01-03 09:00:00,16044.41067916522,0.0,0.0,16044.41067916522
2030-01-03 09:15:00,15927.049706596612,0.0,0.0,15927.049706596612
2030-01-03 09:30:00,15647.474037233385,0.0,0.0,15647.474037233385
2030-01-03 09:45:00,15517.285077805751,0.0,0.0,15517.285077805751
2030-01-03 10:00:00,15359.482425303799,0.0,0.0,15359.482425303799
2030-01-03 10:15:00,15197.359405082814,0.0,0.0,15197.359405082814
2030-01-03 10:30:00,15246.609061527382,0.0,0.0,15246.609061527382
2030-01-03 10:45:00,14935.530557734703,0.0,0.0,14935.530557734703
2030-01-03 11:00:00,14630.99860979729,0.0,0.0,14630.99860979729
2030-01-03 11:15:00,14880.873130286964,0.0,0.0,14880.873130286964
2030-01-03 11:30:00,14454.719085768074,0.0,0.0,14454.719085768074
2030-01-03 11:45:00,14313.898947534657,0.0,0.0,14313.898947534657
2030-01-03 12:00:00,13987.02093295782,0.0,0.0,13987.02093295782
2030-01-03 12:15:00,13391.714038549604,0.0,0.0,13391.714038549604
2030-01-03 12:30:00,13324.06658882622,0.0,0.0,13324.06658882622
2030-01-03 12:45:00,13627.404069421817,0.0,0.0,13627.404069421817
2030-01-03 13:00:00,13733.222217829227,0.0,0.0,13733.222217829227
2030-01-03 13:15:00,14066.495922467984,0.0,0.0,14066.495922467984
2030-01-03 13:30:00,14512.261022626331,0.0,0.0,14512.261022626331
2030-01-03 13:45:00,15408.046107654372,0.0,0.0,15408.046107654372
2030-01-03 14:00:00,15737.96601134574,0.0,0.0,15737.96601134574
2030-01-03 14:15:00,15088.386164098558,0.0,0.0,15088.386164098558
2030-01-03 14:30:00,14260.333918295164,0.0,0.0,14260.333918295164
2030-01-03 14:45:00,13458.3537744793,0.0,0.0,13458.3537744793
2030-01-03 15:00:00,12768.424282290827,0.0,0.0,12768.424282290827
2030-01-03 15:15:00,12291.559581863956,0.0,0.0,12291.559581863956
2030-01-03 15:30:00,12539.583488320955,0.0,0.0,12539.583488320955
2030-01-03 15:45:00,13134.45795666664,0.0,0.0,13134.45795666664
2030-01-03 16:00:00,13608.771064670333,0.0,0.0,13608.771064670333
2030-01-03 16:15:00,13789.63880515892,0.0,0.0,13789.63880515892
2030-01-03 16:30:00,13994.743378147565,0.0,0.0,13994.743378147565
2030-01-03 16:45:00,14657.217679032834,0.0,0.0,14657.217679032834
2030-01-03 17:00:00,15192.22247832785,0.0,0.0,15192.22247832785
2030-01-03 17:15:00,15581.455575386059,0.0,0.0,15581.455575386059
2030-01-03 17:30:00,15684.080823190194,0.0,0.0,15684.080823190194
2030-01-03 17:45:00,15621.36694924477,0.0,0.0,15621.36694924477
2030-01-03 18:00:00,16028.687116210647,0.0,0.0,16028.687116210647
2030-01-03 18:15:00,16109.37288542847,0.0,0.0,16109.37288542847
2030-01-03 18:30:00,16369.977283121647,0.0,0.0,16369.977283121647
2030-01-03 18:45:00,16575.383529492716,0.0,0.0,16575.383529492716
2030-01-03 19:00:00,17143.65784571821,0.0,0.0,17143.65784571821
2030-01-03 19:15:00,17707.877726422947,0.0,0.0,17707.877726422947
2030-01-03 19:30:00,17845.895220993265,0.0,0.0,17845.895220993265
2030-01-03 19:45:00,17844.709014262222,0.0,0.0,17844.709014262222
2030-01-03 20:00:00,18310.144882941935,0.0,0.0,18310.144882941935
2030-01-03 20:15:00,18799.04397262779,0.0,0.0,18799.04397262779
2030-01-03 20:30:00,19496.629521774372,64.16463812404982,0.0,19432.464883650322
2030-01-03 20:45:00,19941.761310434304,250.0,0.0,19691.761310434304
2030-01-03 21:00:00,20040.36897789354,85.83536187595018,0.0,19954.53361601759
2030-01-03 21:15:00,20506.590244957017,0.0,0.0,20506.590244957017
2030-01-03 21:30:00,20736.964167784095,0.0,0.0,20736.964167784095
2030-01-03 21:45:00,20831.365602196216,0.0,0.0,20831.365602196216
2030-01-03 22:00:00,20931.574568984666,0.0,0.0,20931.574568984666
2030-01-03 22:15:00,21291.71967468994,0.0,0.0,21291.71967468994
2030-01-03 22:30:00,21290.264597170513,0.0,0.0,21290.264597170513
2030-01-03 22:45:00,21446.18685853081,0.0,0.0,21446.18685853081
2030-01-03 23:00:00,21766.506725127656,0.0,0.0,21766.506725127656
2030-01-03 23:15:00,22191.14602740378,0.0,0.0,22191.14602740378
2030-01-03 23:30:00,22442.060782758384,0.0,0.0,22442.060782758384
2030-01-03 23:45:00,22039.348921168777,0.0,0.0,22039.348921168777
2030-01-04 00:00:00,22069.149490474567,0.0,0.0,22069.149490474567
2030-01-04 00:15:00,22361.445062454524,0.0,0.0,22361.445062454524
2030-01-04 00:30:00,22590.29356932167,0.0,0.0,22590.29356932167
2030-01-04 00:45:00,22674.13297684547,0.0,0.0,22674.13297684547
2030-01-04 01:00:00,22715.845188271196,0.0,0.0,22715.845188271196
2030-01-04 01:15:00,22869.028108402512,0.0,0.0,22869.028108402512
2030-01-04 01:30:00,22983.902624287482,0.0,0.0,22983.902624287482
2030-01-04 01:45:00,23059.773799000002,0.0,0.0,23059.773799000002
2030-01-04 02:00:00,23006.235168404302,0.0,0.0,23006.235168404302
2030-01-04 02:15:00,23102.377952063944,0.0,0.0,23102.377952063944
2030-01-04 02:30:00,23093.512600371454,0.0,0.0,23093.512600371454
2030-01-04 02:45:00,22570.66607696057,0.0,0.0,22570.66607696057
2030-01-04 03:00:00,21961.253014298818,0.0,0.0,21961.253014298818
2030-01-04 03:15:00,22088.671951160348,0.0,0.0,22088.671951160348
2030-01-04 03:30:00,22200.25847729702,0.0,0.0,22200.25847729702
2030-01-04 03:45:00,22304.522779434905,0.0,0.0,22304.522779434905
2030-01-04 04:00:00,22232.50308077116,0.0,0.0,22232.50308077116
2030-01-04 04:15:00,22780.22802921763,0.0,0.0,22780.22802921763
2030-01-04 04:30:00,23087.087135947382,0.0,0.0,23087.087135947382
2030-01-04 04:45:00,23339.961778330195,0.0,0.0,23339.961778330195
2030-01-04 05:00:00,24314.365729838366,0.0,0.0,24314.365729838366
2030-01-04 05:15:00,24634.296538585924,0.0,0.0,24634.296538585924
2030-01-04 05:30:00,25078.01629894972,0.0,0.0,25078.01629894972
2030-01-04 05:45:00,25857.437676120713,0.0,0.0,25857.437676120713
2030-01-04 06:00:00,27277.87508414009,0.0,0.0,27277.87508414009
2030-01-04 06:15:00,28276.53732502206,0.0,0.0,28276.53732502206
2030-01-04 06:30:00,28580.96115609998,0.0,0.0,28580.96115609998
2030-01-04 06:45:00,28863.96522105415,0.0,0.0,28863.96522105415
2030-01-04 07:00:00,29022.24371257153,0.0,0.0,29022.24371257153
2030-01-04 07:15:00,29227.102947971922,0.0,0.0,29227.102947971922
2030-01-04 07:30:00,29307.50081865125,0.0,0.0,29307.50081865125
2030-01-04 07:45:00,29436.24093080575,0.0,0.0,29436.24093080575
2030-01-04 08:00:00,29459.60772533073,0.0,0.0,29459.60772533073
2030-01-04 08:15:00,29584.877333995166,0.0,0.0,29584.877333995166
2030-01-04 08:30:00,29728.274709149016,0.0,0.0,29728.274709149016
2030-01-04 08:45:00,29829.54768102429,0.0,0.0,29829.54768102429
2030-01-04 09:00:00,30045.616475416908,0.0,0.0,30045.616475416908
2030-01-04 09:15:00,30362.499884620145,0.0,0.0,30362.499884620145
2030-01-04 09:30:00,30715.12671066691,0.0,0.0,30715.12671066691
2030-01-04 09:45:00,31121.439366925155,0.0,0.0,31121.439366925155
2030-01-04 10:00:00,31275.72220481105,0.0,0.0,31275.72220481105
2030-01-04 10:15:00,31568.59910987918,0.0,0.0,31568.59910987918
2030-01-04 10:30:00,31827.346072669174,0.0,0.0,31827.346072669174
2030-01-04 10:45:00,31948.595483853853,0.0,0.0,31948.595483853853
2030-01-04 11:00:00,31995.58700554484,0.0,0.0,31995.58700554484
2030-01-04 11:15:00,31590.8619874834,0.0,0.0,31590.8619874834
2030-01-04 11:30:00,31840.13238747049,0.0,0.0,31840.13238747049
2030-01-04 11:45:00,32249.9408638791,0.0,0.0,32249.9408638791
2030-01-04 12:00:00,32604.655990576182,0.0,0.0,32604.655990576182
2030-01-04 12:15:00,33054.84501692003,0.0,0.0,33054.84501692003
2030-01-04 12:30:00,33253.94083497203,0.0,0.0,33253.94083497203
2030-01-04 12:45:00,33134.508593862396,0.0,0.0,33134.508593862396
2030-01-04 13:00:00,32955.49599750478,0.0,0.0,32955.49599750478
2030-01-04 13:15:00,32953.7841674432,0.0,0.0,32953.7841674432
2030-01-04 13:30:00,32724.750995701783,0.0,0.0,32724.750995701783
2030-01-04 13:45:00,32376.317559767736,0.0,0.0,32376.317559767736
2030-01-04 14:00:00,32257.540998648023,0.0,0.0,32257.540998648023
2030-01-04 14:15:00,32161.286628458467,0.0,0.0,32161.286628458467
2030-01-04 14:30:00,32065.289334613713,0.0,0.0,32065.289334613713
2030-01-04 14:45:00,31878.504504645036,0.0,0.0,31878.504504645036
2030-01-04 15:00:00,31680.704969629078,0.0,0.0,31680.704969629078
2030-01-04 15:15:00,31478.454957630638,0.0,0.0,31478.454957630638
2030-01-04 15:30:00,31540.50422611342,0.0,0.0,31540.50422611342
2030-01-04 15:45:00,31722.58046384505,0.0,0.0,31722.58046384505
2030-01-04 16:00:00,31563.215103600865,0.0,0.0,31563.215103600865
2030-01-04 16:15:00,31492.872642101152,0.0,0.0,31492.872642101152
2030-01-04 16:30:00,31438.13953519664,0.0,0.0,31438.13953519664
2030-01-04 16:45:00,31533.710238014846,0.0,0.0,31533.710238014846
2030-01-04 17:00:00,31604.118230937096,0.0,0.0,31604.118230937096
2030-01-04 17:15:00,31714.498378491822,0.0,0.0,31714.498378491822
2030-01-04 17:30:00,31589.780356430827,0.0,0.0,31589.780356430827
2030-01-04 17:45:00,31366.676368990058,0.0,0.0,31366.676368990058
2030-01-04 18:00:00,30958.14267702533,0.0,0.0,30958.14267702533
2030-01-04 18:15:00,30527.310639232368,0.0,0.0,30527.310639232368
2030-01-04 18:30:00,30365.10396481468,0.0,0.0,30365.10396481468
2030-01-04 18:45:00,29971.423616558393,0.0,0.0,29971.423616558393
2030-01-04 19:00:00,29596.53542824833,0.0,0.0,29596.53542824833
2030-01-04 19:15:00,29360.639450257673,0.0,0.0,29360.639450257673
2030-01-04 19:30:00,29243.376055472196,0.0,0.0,29243.376055472196
2030-01-04 19:45:00,29051.043186566876,0.0,0.0,29051.043186566876
2030-01-04 20:00:00,28982.82296869305,0.0,0.0,28982.82296869305
