Datum,Differenz in MWh,positive Werte,negative Werte
2030-01-04 17:45:00,8209.003748660802,8209.003748660802,0.0
2030-01-04 18:00:00,7871.007334722948,7871.007334722948,0.0
2030-01-04 18:15:00,7565.348009532507,7565.348009532507,0.0
2030-01-04 18:30:00,7510.677118479442,7510.677118479442,0.0
2030-01-04 18:45:00,7377.026537777321,7377.026537777321,0.0
2030-01-04 19:00:00,7070.600257792961,7070.600257792961,0.0
2030-01-04 19:15:00,7141.074312618297,7141.074312618297,0.0
2030-01-04 19:30:00,7236.469706501113,7236.469706501113,0.0
2030-01-04 19:45:00,7267.519934945933,7267.519934945933,0.0
2030-01-04 20:00:00,7536.1027180807,7536.1027180807,0.0
2030-01-04 20:15:00,7807.235211679417,7807.235211679417,0.0
2030-01-04 20:30:00,7762.087587343653,7762.087587343653,0.0
2030-01-04 20:45:00,7835.37015427776,7835.37015427776,0.0
2030-01-04 21:00:00,7451.609011411518,7451.609011411518,0.0
2030-01-04 21:15:00,7331.03221578091,7331.03221578091,0.0
2030-01-04 21:30:00,7358.116479688768,7358.116479688768,0.0
2030-01-04 21:45:00,7214.724178438966,7214.724178438966,0.0
2030-01-04 22:00:00,6590.743666240549,6590.743666240549,0.0
2030-01-04 22:15:00,6737.986237838322,6737.986237838322,0.0
2030-01-04 22:30:00,7091.644629835213,7091.644629835213,0.0
2030-01-04 22:45:00,7269.191194226856,7269.191194226856,0.0
2030-01-04 23:00:00,7273.251489166389,7273.251489166389,0.0
2030-01-04 23:15:00,7168.476378099207,7168.476378099207,0.0
2030-01-04 23:30:00,7168.547609187128,7168.547609187128,0.0
2030-01-04 23:45:00,7562.932071158462,7562.932071158462,0.0
2030-01-05 00:00:00,7084.43721008873,7084.43721008873,0.0
2030-01-05 00:15:00,6457.444503736564,6457.444503736564,0.0
2030-01-05 00:30:00,6136.835862386448,6136.835862386448,0.0
2030-01-05 00:45:00,5881.816738121981,5881.816738121981,0.0
2030-01-05 01:00:00,6144.553224226867,6144.553224226867,0.0
2030-01-05 01:15:00,6215.6135223068795,6215.6135223068795,0.0
2030-01-05 01:30:00,6186.196019943443,6186.196019943443,0.0
2030-01-05 01:45:00,5818.678508306937,5818.678508306937,0.0
2030-01-05 02:00:00,5452.952676907549,5452.952676907549,0.0
2030-01-05 02:15:00,5270.287974570012,5270.287974570012,0.0
2030-01-05 02:30:00,5474.53019935406,5474.53019935406,0.0
2030-01-05 02:45:00,5477.466532335824,5477.466532335824,0.0
2030-01-05 03:00:00,5276.837968715874,5276.837968715874,0.0
2030-01-05 03:15:00,5321.781377691899,5321.781377691899,0.0
2030-01-05 03:30:00,5232.487296525649,5232.487296525649,0.0
2030-01-05 03:45:00,5102.915786604241,5102.915786604241,0.0
2030-01-05 04:00:00,5490.568516024619,5490.568516024619,0.0
2030-01-05 04:15:00,6061.242507679184,6061.242507679184,0.0
2030-01-05 04:30:00,6359.997303966913,6359.997303966913,0.0
2030-01-05 04:45:00,6623.789328507119,6623.789328507119,0.0
2030-01-05 05:00:00,7136.330426436263,7136.330426436263,0.0
2030-01-05 05:15:00,7363.559518725939,7363.559518725939,0.0
2030-01-05 05:30:00,7191.340315472433,7191.340315472433,0.0
2030-01-05 05:45:00,7061.209609120811,7061.209609120811,0.0
2030-01-05 06:00:00,6389.236802255982,6389.236802255982,0.0
2030-01-05 06:15:00,6303.0005039067255,6303.0005039067255,0.0
2030-01-05 06:30:00,6033.123806093787,6033.123806093787,0.0
2030-01-05 06:45:00,5521.6478375647675,5521.6478375647675,0.0
2030-01-05 07:00:00,4387.204319484765,4387.204319484765,0.0
2030-01-05 07:15:00,4256.69597149839,4256.69597149839,0.0
2030-01-05 07:30:00,4101.619889568334,4101.619889568334,0.0
2030-01-05 07:45:00,3752.3390684878577,3752.3390684878577,0.0
2030-01-05 08:00:00,3293.0992747735727,3293.0992747735727,0.0
2030-01-05 08:15:00,3402.84831781522,3402.84831781522,0.0
2030-01-05 08:30:00,3352.4711626495664,3352.4711626495664,0.0
2030-01-05 08:45:00,3258.560918426596,3258.560918426596,0.0
2030-01-05 09:00:00,3487.021221557934,3487.021221557934,0.0
2030-01-05 09:15:00,3607.338743134005,3607.338743134005,0.0
2030-01-05 09:30:00,3903.744351691683,3903.744351691683,0.0
2030-01-05 09:45:00,4274.190101692238,4274.190101692238,0.0
2030-01-05 10:00:00,4561.050685240018,4561.050685240018,0.0
2030-01-05 10:15:00,5169.763723134991,5169.763723134991,0.0
2030-01-05 10:30:00,5838.99165032067,5838.99165032067,0.0
2030-01-05 10:45:00,5958.498396596769,5958.498396596769,0.0
2030-01-05 11:00:00,6112.835794347131,6112.835794347131,0.0
2030-01-05 11:15:00,6172.342232267725,6172.342232267725,0.0
2030-01-05 11:30:00,5969.100963642366,5969.100963642366,0.0
2030-01-05 11:45:00,6030.113592552054,6030.113592552054,0.0
2030-01-05 12:00:00,5510.621651444853,5510.621651444853,0.0
2030-01-05 12:15:00,4908.226636002979,4908.226636002979,0.0
2030-01-05 12:30:00,4166.236648489368,4166.236648489368,0.0
2030-01-05 12:45:00,3631.5360015877486,3631.5360015877486,0.0
2030-01-05 13:00:00,3371.2184275604013,3371.2184275604013,0.0
2030-01-05 13:15:00,2931.1845566488773,2931.1845566488773,0.0
2030-01-05 13:30:00,2577.8580759783654,2577.8580759783654,0.0
2030-01-05 13:45:00,2318.2239380571373,2318.2239380571373,0.0
2030-01-05 14:00:00,1490.718855882431,1490.718855882431,0.0
2030-01-05 14:15:00,666.3933186700342,666.3933186700342,0.0
2030-01-05 14:30:00,-119.54704673649394,0.0,-119.54704673649394
2030-01-05 14:45:00,-450.3776836671568,0.0,-450.3776836671568
2030-01-05 15:00:00,-1419.277770258428,0.0,-1419.277770258428
2030-01-05 15:15:00,-2235.5228629058693,0.0,-2235.5228629058693
2030-01-05 15:30:00,-2726.226113950408,0.0,-2726.226113950408
2030-01-05 15:45:00,-2989.711521533027,0.0,-2989.711521533027
2030-01-05 16:00:00,-3381.754123524788,0.0,-3381.754123524788
2030-01-05 16:15:00,-3678.548149853974,0.0,-3678.548149853974
2030-01-05 16:30:00,-4276.153960060172,0.0,-4276.153960060172
2030-01-05 16:45:00,-4946.650890932462,0.0,-4946.650890932462
2030-01-05 17:00:00,-5364.144028629355,0.0,-5364.144028629355
2030-01-05 17:15:00,-5466.057156700343,0.0,-5466.057156700343
2030-01-05 17:30:00,-5607.2066946482755,0.0,-5607.2066946482755
2030-01-05 17:45:00,-5935.44400292741,0.0,-5935.44400292741
2030-01-05 18:00:00,-6087.943602277857,0.0,-6087.943602277857
2030-01-05 18:15:00,-6132.669235571824,0.0,-6132.669235571824
2030-01-05 18:30:00,-6235.6656887878835,0.0,-6235.6656887878835
2030-01-05 18:45:00,-6216.85959410746,0.0,-6216.85959410746
2030-01-05 19:00:00,-6512.576099244776,0.0,-6512.576099244776
2030-01-05 19:15:00,-6442.819971121829,0.0,-6442.819971121829
2030-01-05 19:30:00,-5998.057089578666,0.0,-5998.057089578666
2030-01-05 19:45:00,-5674.554096440834,0.0,-5674.554096440834
2030-01-05 20:00:00,-5400.805703022248,0.0,-5400.805703022248
2030-01-05 20:15:00,-5236.287628789774,0.0,-5236.287628789774
2030-01-05 20:30:00,-4721.403622506576,0.0,-4721.403622506576
2030-01-05 20:45:00,-4289.012084792339,0.0,-4289.012084792339
2030-01-05 21:00:00,-4135.443588747905,0.0,-4135.443588747905
2030-01-05 21:15:00,-3950.2046783001897,0.0,-3950.2046783001897
2030-01-05 21:30:00,-3804.40603928549,0.0,-3804.40603928549
2030-01-05 21:45:00,-3477.9194136784936,0.0,-3477.9194136784936
2030-01-05 22:00:00,-3143.4077975011933,0.0,-3143.4077975011933
2030-01-05 22:15:00,-2781.383210228996,0.0,-2781.383210228996
2030-01-05 22:30:00,-2419.912460683474,0.0,-2419.912460683474
2030-01-05 22:45:00,-2249.425969098098,0.0,-2249.425969098098
2030-01-05 23:00:00,-1723.5178203253,0.0,-1723.5178203253
2030-01-05 23:15:00,-1395.584672777477,0.0,-1395.584672777477
2030-01-05 23:30:00,-1243.4801382632795,0.0,-1243.4801382632795
2030-01-05 23:45:00,-853.4103571284559,0.0,-853.4103571284559
2030-01-06 00:00:00,-393.53952637486873,0.0,-393.53952637486873
2030-01-06 00:15:00,-5.690744176543376,0.0,-5.690744176543376
2030-01-06 00:30:00,352.14625947136665,352.14625947136665,0.0
2030-01-06 00:45:00,747.2281776106665,747.2281776106665,0.0
2030-01-06 01:00:00,876.1283762001985,876.1283762001985,0.0
2030-01-06 01:15:00,880.7275690421666,880.7275690421666,0.0
2030-01-06 01:30:00,1075.6808903036672,1075.6808903036672,0.0
2030-01-06 01:45:00,1385.0718322372795,1385.0718322372795,0.0
2030-01-06 02:00:00,1703.6365366039172,1703.6365366039172,0.0
2030-01-06 02:15:00,1888.091887495797,1888.091887495797,0.0
2030-01-06 02:30:00,2183.6943449070022,2183.6943449070022,0.0
2030-01-06 02:45:00,2416.4291873766942,2416.4291873766942,0.0
2030-01-06 03:00:00,2456.7406247057843,2456.7406247057843,0.0
2030-01-06 03:15:00,2690.537118486938,2690.537118486938,0.0
2030-01-06 03:30:00,3019.7431299499112,3019.7431299499112,0.0
2030-01-06 03:45:00,3348.5781471087175,3348.5781471087175,0.0
2030-01-06 04:00:00,3387.657804285882,3387.657804285882,0.0
2030-01-06 04:15:00,3592.3028821380412,3592.3028821380412,0.0
2030-01-06 04:30:00,4005.0674010108432,4005.0674010108432,0.0
2030-01-06 04:45:00,4160.7014583372,4160.7014583372,0.0
2030-01-06 05:00:00,4069.669866536653,4069.669866536653,0.0
2030-01-06 05:15:00,4157.564439416858,4157.564439416858,0.0
2030-01-06 05:30:00,4249.114863800845,4249.114863800845,0.0
2030-01-06 05:45:00,4292.803008850431,4292.803008850431,0.0
2030-01-06 06:00:00,4008.0917412008857,4008.0917412008857,0.0
2030-01-06 06:15:00,3712.4388426426885,3712.4388426426885,0.0
2030-01-06 06:30:00,3839.315207825839,3839.315207825839,0.0
2030-01-06 06:45:00,3596.42425397192,3596.42425397192,0.0
2030-01-06 07:00:00,3343.705651268163,3343.705651268163,0.0
2030-01-06 07:15:00,3057.9841418387477,3057.9841418387477,0.0
2030-01-06 07:30:00,2894.223694381304,2894.223694381304,0.0
2030-01-06 07:45:00,2640.2679639509806,2640.2679639509806,0.0
2030-01-06 08:00:00,2386.513102626639,2386.513102626639,0.0
2030-01-06 08:15:00,2542.214247206408,2542.214247206408,0.0
2030-01-06 08:30:00,3064.8111459149804,3064.8111459149804,0.0
2030-01-06 08:45:00,3604.1874485584012,3604.1874485584012,0.0
2030-01-06 09:00:00,4088.0089437352763,4088.0089437352763,0.0
2030-01-06 09:15:00,4618.107171508687,4618.107171508687,0.0
2030-01-06 09:30:00,5507.825863815622,5507.825863815622,0.0
2030-01-06 09:45:00,6458.638496343196,6458.638496343196,0.0
2030-01-06 10:00:00,7433.749041242587,7433.749041242587,0.0
2030-01-06 10:15:00,7957.772820949747,7957.772820949747,0.0
2030-01-06 10:30:00,8311.547389949068,8311.547389949068,0.0
2030-01-06 10:45:00,8478.500419248467,8478.500419248467,0.0
2030-01-06 11:00:00,8510.656993270914,8510.656993270914,0.0
2030-01-06 11:15:00,8777.275414093463,8777.275414093463,0.0
2030-01-06 11:30:00,9098.87911285085,9098.87911285085,0.0
2030-01-06 11:45:00,9681.172007516867,9681.172007516867,0.0
2030-01-06 12:00:00,9539.030735590848,9539.030735590848,0.0
2030-01-06 12:15:00,9623.850537351096,9623.850537351096,0.0
2030-01-06 12:30:00,9750.753324695077,9750.753324695077,0.0
2030-01-06 12:45:00,9924.176598246748,9924.176598246748,0.0
2030-01-06 13:00:00,9824.536371859223,9824.536371859223,0.0
2030-01-06 13:15:00,9823.295812876913,9823.295812876913,0.0
2030-01-06 13:30:00,9670.34437827485,9670.34437827485,0.0
2030-01-06 13:45:00,9318.109616741549,9318.109616741549,0.0
2030-01-06 14:00:00,8213.334452931973,8213.334452931973,0.0
2030-01-06 14:15:00,7378.652648988722,7378.652648988722,0.0
2030-01-06 14:30:00,6726.414077447353,6726.414077447353,0.0
2030-01-06 14:45:00,5819.251745561076,5819.251745561076,0.0
2030-01-06 15:00:00,4741.398404960015,4741.398404960015,0.0
2030-01-06 15:15:00,3941.499220956357,3941.499220956357,0.0
2030-01-06 15:30:00,3043.226208003711,3043.226208003711,0.0
2030-01-06 15:45:00,2249.8070254866543,2249.8070254866543,0.0
2030-01-06 16:00:00,1541.4646187797225,1541.4646187797225,0.0
2030-01-06 16:15:00,1160.3914143967777,1160.3914143967777,0.0
2030-01-06 16:30:00,651.8393364803233,651.8393364803233,0.0
2030-01-06 16:45:00,127.20240881431164,127.20240881431164,0.0
2030-01-06 17:00:00,-447.7135736772907,0.0,-447.7135736772907
2030-01-06 17:15:00,-587.3970333229481,0.0,-587.3970333229481
2030-01-06 17:30:00,-817.7444329566533,0.0,-817.7444329566533
2030-01-06 17:45:00,-942.7856483827563,0.0,-942.7856483827563
2030-01-06 18:00:00,-1275.4645384278992,0.0,-1275.4645384278992
2030-01-06 18:15:00,-1223.4225526247137,0.0,-1223.4225526247137
2030-01-06 18:30:00,-1213.1494618770957,0.0,-1213.1494618770957
2030-01-06 18:45:00,-967.2323566759333,0.0,-967.2323566759333
2030-01-06 19:00:00,-1185.9544392035386,0.0,-1185.9544392035386
2030-01-06 19:15:00,-1027.6961572647633,0.0,-1027.6961572647633
2030-01-06 19:30:00,-977.6660427129245,0.0,-977.6660427129245
